problem,size,model,accuracy
Glass,80%,Baseline,0.5581395348837209
Glass,80%,Random Projections,0.5581395348837209
Glass,80%,Random Hyperplanes,0.5581395348837209
Glass,50%,Baseline,0.6728971962616822
Glass,50%,Random Projections,0.6728971962616822
Glass,50%,Random Hyperplanes,0.6728971962616822
Glass,30%,Baseline,0.5866666666666667
Glass,30%,Random Projections,0.5866666666666667
Glass,30%,Random Hyperplanes,0.5266666666666666
Glass,20%,Baseline,0.5988372093023255
Glass,20%,Random Projections,0.5988372093023255
Glass,20%,Random Hyperplanes,0.5755813953488372
Glass,10%,Baseline,0.6010362694300518
Glass,10%,Random Projections,0.6010362694300518
Glass,10%,Random Hyperplanes,0.6062176165803109
