train_size,model,accuracy_1,accuracy_2,accuracy_3
1.0,Baseline,0.8235294117647058,0.8235294117647058,0.8235294117647058
1.0,Vapnik,0.8382352941176471,0.8382352941176471,0.8382352941176471
1.0,Projections,0.8235294117647058,0.8382352941176471,0.8088235294117647
1.0,Hyperplanes,0.7647058823529411,0.6911764705882353,0.7205882352941176
0.5,Baseline,0.8088235294117647,0.8088235294117647,0.8088235294117647
0.5,Vapnik,0.8529411764705882,0.8529411764705882,0.8529411764705882
0.5,Projections,0.8382352941176471,0.8529411764705882,0.8235294117647058
0.5,Hyperplanes,0.75,0.7352941176470589,0.7794117647058824
0.1,Baseline,0.7352941176470589,0.7352941176470589,0.7352941176470589
0.1,Vapnik,0.7205882352941176,0.7205882352941176,0.7205882352941176
0.1,Projections,0.6176470588235294,0.7205882352941176,0.6470588235294118
0.1,Hyperplanes,0.6764705882352942,0.7058823529411765,0.6470588235294118
1.0,Baseline,0.8676470588235294,0.8676470588235294,0.8676470588235294
1.0,Vapnik,0.8529411764705882,0.8529411764705882,0.8529411764705882
1.0,Projections,0.8676470588235294,0.8676470588235294,0.8676470588235294
1.0,Hyperplanes,0.8235294117647058,0.8088235294117647,0.8235294117647058
0.5,Baseline,0.8382352941176471,0.8382352941176471,0.8382352941176471
0.5,Vapnik,0.8529411764705882,0.8529411764705882,0.8529411764705882
0.5,Projections,0.8382352941176471,0.8235294117647058,0.8529411764705882
0.5,Hyperplanes,0.7647058823529411,0.8382352941176471,0.7647058823529411
0.1,Baseline,0.7058823529411765,0.7058823529411765,0.7058823529411765
0.1,Vapnik,0.7794117647058824,0.7794117647058824,0.7794117647058824
0.1,Projections,0.6176470588235294,0.6617647058823529,0.6911764705882353
0.1,Hyperplanes,0.7058823529411765,0.5588235294117647,0.39705882352941174
1.0,Baseline,0.8676470588235294,0.8676470588235294,0.8676470588235294
1.0,Vapnik,0.8676470588235294,0.8676470588235294,0.8676470588235294
1.0,Projections,0.8235294117647058,0.8382352941176471,0.8382352941176471
1.0,Hyperplanes,0.8382352941176471,0.7058823529411765,0.6617647058823529
0.5,Baseline,0.8529411764705882,0.8529411764705882,0.8529411764705882
0.5,Vapnik,0.8088235294117647,0.8088235294117647,0.8088235294117647
0.5,Projections,0.7941176470588235,0.8382352941176471,0.8088235294117647
0.5,Hyperplanes,0.8382352941176471,0.7794117647058824,0.75
0.1,Baseline,0.7058823529411765,0.7058823529411765,0.7058823529411765
0.1,Vapnik,0.6764705882352942,0.6764705882352942,0.6764705882352942
0.1,Projections,0.6617647058823529,0.7352941176470589,0.7058823529411765
0.1,Hyperplanes,0.6617647058823529,0.7058823529411765,0.6911764705882353
