train_size,model,accuracy_1,accuracy_2,accuracy_3
1.0,Baseline,0.5286195286195287,0.5286195286195287,0.5286195286195287
1.0,Vapnik,0.5286195286195287,0.5286195286195287,0.5286195286195287
1.0,Projections,0.5353535353535354,0.5286195286195287,0.531986531986532
1.0,Hyperplanes,0.5353535353535354,0.5252525252525253,0.5185185185185185
0.5,Baseline,0.5286195286195287,0.5286195286195287,0.5286195286195287
0.5,Vapnik,0.5286195286195287,0.5286195286195287,0.5286195286195287
0.5,Projections,0.5185185185185185,0.5252525252525253,0.5117845117845118
0.5,Hyperplanes,0.5084175084175084,0.5353535353535354,0.5151515151515151
0.1,Baseline,0.4612794612794613,0.4612794612794613,0.4612794612794613
0.1,Vapnik,0.4713804713804714,0.4713804713804714,0.4713804713804714
0.1,Projections,0.3602693602693603,0.4882154882154882,0.4377104377104377
0.1,Hyperplanes,0.4074074074074074,0.43097643097643096,0.4006734006734007
1.0,Baseline,0.531986531986532,0.531986531986532,0.531986531986532
1.0,Vapnik,0.531986531986532,0.531986531986532,0.531986531986532
1.0,Projections,0.5117845117845118,0.5488215488215489,0.38047138047138046
1.0,Hyperplanes,0.5050505050505051,0.4983164983164983,0.48148148148148145
0.5,Baseline,0.5084175084175084,0.5084175084175084,0.5084175084175084
0.5,Vapnik,0.5050505050505051,0.5050505050505051,0.5050505050505051
0.5,Projections,0.5117845117845118,0.49158249158249157,0.4983164983164983
0.5,Hyperplanes,0.4781144781144781,0.4781144781144781,0.48484848484848486
0.1,Baseline,0.468013468013468,0.468013468013468,0.468013468013468
0.1,Vapnik,0.45791245791245794,0.45791245791245794,0.45791245791245794
0.1,Projections,0.4612794612794613,0.4074074074074074,0.45454545454545453
0.1,Hyperplanes,0.35353535353535354,0.43097643097643096,0.2053872053872054
1.0,Baseline,0.5521885521885522,0.5521885521885522,0.5521885521885522
1.0,Vapnik,0.5555555555555556,0.5555555555555556,0.5555555555555556
1.0,Projections,0.5589225589225589,0.5521885521885522,0.5791245791245792
1.0,Hyperplanes,0.5521885521885522,0.5521885521885522,0.367003367003367
0.5,Baseline,0.494949494949495,0.494949494949495,0.494949494949495
0.5,Vapnik,0.5185185185185185,0.5185185185185185,0.5185185185185185
0.5,Projections,0.4983164983164983,0.48148148148148145,0.5151515151515151
0.5,Hyperplanes,0.47474747474747475,0.5151515151515151,0.48484848484848486
0.1,Baseline,0.5084175084175084,0.5084175084175084,0.5084175084175084
0.1,Vapnik,0.5084175084175084,0.5084175084175084,0.5084175084175084
0.1,Projections,0.494949494949495,0.5117845117845118,0.494949494949495
0.1,Hyperplanes,0.46464646464646464,0.4276094276094276,0.2828282828282828
